#;address;location;type;places;area;work_hours
120;Вул. Глинки, в районі буд. № 2 (ТРК «Мост-Сіті-Центр»);48.465940, 35.051767;on_road_center;22;253;8.00 – 22.00, щоденно
121;Вул. Харківська, в районі буд. № 5;48.464064, 35.050244;on_road_center;12;138;8.00 – 20.00, щоденно
122;Вул. Харківська, в районі буд. № 15 (ТЦ «Кубометр»);48.466453, 35.049656;on_road_center;36;414;8.00 – 22.00, щоденно
123;Вул. Князя Володимира Великого (вул. Плеханова), в районі буд. № № 28 – 34;48.471050, 35.039575;on_road_center;35;402,5;8.00 – 20.00, щоденно, крім суботи та неділі
124;Вул. Князя Володимира Великого (вул. Плеханова), в районі буд. № № 15 А – 15 Б;48.470477, 35.041181;on_road_center;68;782;8.00 – 20.00, щоденно, крім суботи та неділі
125;Вул. Князя Володимира Великого (вул. Плеханова), в районі буд. № 10 А;48.469222, 35.045976;on_road_center;21;241,5;8.00 – 20.00, щоденно, крім суботи та неділі
126;Вул. Князя Володимира Великого (вул. Плеханова), в районі буд. № № 7 – 9;48.469081, 35.045738;on_road_center;12;138;8.00 – 20.00, щоденно, крім суботи та неділі
127;Вул. Князя Володимира Великого (вул. Плеханова), в районі буд. № 3 Д;48.468667, 35.048100;on_road_center;24;276;8.00 – 20.00, щоденно, крім суботи та неділі
128;Вул. В’ячеслава Липинського (вул. Ширшова), в районі буд. № № 10 – 18;48.464583, 35.050565;on_road_center;36;414;8.00 – 20.00, щоденно, крім суботи та неділі
129;Вул. Шолом-Алейхема, в районі буд. № № 1 – 5;48.464743, 35.052108;on_road_center;22;253;8.00 – 20.00, щоденно, крім суботи та неділі
130;Вул. Барикадна, в районі буд. № № 13 – 15;48.462908, 35.054450;on_road_center;51;586,5;8.00 – 20.00, щоденно, крім суботи та неділі
131;Пл. Успенська (пл. Дем’яна Бєдного), в районі буд. № № 5 – 7;48.464455, 35.053765;on_road_center;36;414;8.00 – 20.00, щоденно, крім суботи та неділі
132;Пл. Успенська (пл. Дем’яна Бєдного), в районі буд. № 1;48.465503, 35.054988;on_road_center;25;287,5;8.00 – 20.00, щоденно, крім суботи та неділі
133;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № № 54 – 58;48.466129, 35.043803;on_road_center;30;345;8.00 – 20.00, щоденно
134;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № № 64 – 68;48.468007, 35.040098;on_road_center;33;379,5;8.00 – 20.00, щоденно
135;Просп. Дмитра Яворницького (просп. Карла Маркса), 72 А;48.466438, 35.041721;on_road_center;36;414;8.00 – 20.00, щоденно
136;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № № 99 – 111 (від Парку Лазаря Глоби до вул. Шмідта);48.473086, 35.027794;on_road_center;50;575;8.00 – 20.00, щоденно
137;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № № 85 – 93;48.468935, 35.037143;on_road_center;35;402,5;8.00 – 20.00, щоденно
138;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № № 77 – 83;48.467493, 35.039656;on_road_center;22;253;8.00 – 20.00, щоденно
139;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № № 67 – 71;48.465874, 35.042711;on_road_center;30;345;8.00 – 20.00, щоденно
140;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 57;48.463708, 35.046715;on_road_center;14;161;8.00 – 20.00, щоденно
141;Вул. Михайла Грушевського (вул. Карла Лібкнехта), в районі буд. № 3;48.461378, 35.045169;on_road_center;25;287,5;8.00 – 20.00, щоденно
142;Вул. Святослава Хороброго (вул. Чкалова), в районі буд. № № 12 – 12 А;48.459497, 35.042182;on_road_center;24;276;8.00 – 20.00, щоденно
143;Вул. Святослава Хороброго (вул. Чкалова), від вул. Михайла Грушевського (вул. Карла Лібкнехта) до вул. Троїцької (вул. Червоної);48.459189, 35.041613;on_road_center;25;287,5;8.00 – 20.00, щоденно, крім понеділка
144;Вул. Володимира Мономаха (вул. Московська), в районі буд. № № 5 – 9;48.466228, 35.045069;on_road_center;25;287,5;8.00 – 20.00, щоденно
145;Вул. Магдебурзького права (вул. Гопнер), в районі буд. № № 1 – 3;48.463809, 35.050957;on_road_center;20;230;8.00 – 20.00, щоденно
146;Вул. Володимира Мономаха (вул. Московська), 10 - 12;48.469750, 35.047062;on_road_center;35;402,5;8.00 – 20.00, щоденно
147;Вул. Якова Самарського, 4 - 12 А;48.463867, 35.055381;on_road_center;23;264,5;8.00 – 20.00, щоденно
148;На розі пл. Соборної (пл. Жовтнева), в районі буд. No 12 А та вул. Дмитра Донцова (вул. Дмитра Донського);48.457430, 35.068690;on_road_center;18;207,0;8.00 – 20.00, щоденно
149;Вул. Курсантська, 22;48.496047, 35.118309;on_road_off_center;60;690,0;8.00 – 20.00, щоденно
150;Вул. Марії Кюрі, в районі ТК «Материк»;48.439393, 35.052127;on_road_off_center;40;460;8.00 – 21.00, щоденно
151;Донецьке шосе, в районі АЗС та вул. Березинської (район ринку);48.527549, 35.030487;on_road_off_center;60;690;8.00 – 20.00, щоденно
152;Вул. Калинова, в районі буд. № № 3 – 9 А (ТЦ «Міріада»);48.510422, 35.080300;on_road_off_center;26;299;8.00 – 20.00, щоденно
153;Вул. Артеківська, 19 – 25;48.511788, 35.074323;on_road_off_center;20;230;8.00 – 20.00, щоденно
154;Просп. Олександра Поля (просп. Кірова), в районі буд. № № 11, 13;48.463434, 35.028453;on_road_off_center;9;103,5;8.00 – 20.00, щоденно
155;Просп. Олександра Поля (просп. Кірова), 8 А;48.463245, 35.027430;on_road_off_center;12;138;8.00 – 20.00, щоденно
156;Просп. Героїв, 3;48.419474, 35.061956;on_road_off_center;20;230;8.00 – 20.00, щоденно
157;Вул. Сімферопольська, 13-15;48.450416, 35.068181;on_road_off_center;33;379,5;7.00 - 20.00, щоденно
